OrderID;from;Category Name;sales
10248;France;Dairy Products;168
10248;France;Grains/Cereals;98
10248;France;Dairy Products;174
10249;France;Produce;167,4
10249;France;Produce;1696
10250;Belarus;Seafood;77
10250;Belarus;Produce;1484
10250;Belarus;Condiments;252
10251;France;Grains/Cereals;100,8
10251;France;Grains/Cereals;234
10251;France;Condiments;336
10252;France;Dairy Products;2592
10252;France;Dairy Products;50
10252;France;Dairy Products;1088
10253;Belarus;Dairy Products;200
10253;Belarus;Beverages;604,8
10253;Belarus;Confections;640
10254;Belgium;Beverages;54
10254;Belgium;Meat/Poultry;403,2
10254;Belgium;Produce;168
10255;France;Condiments;304
10255;France;Dairy Products;486,5
10255;France;Seafood;380
10255;France;Dairy Products;1320
10256;France;Meat/Poultry;393
10256;France;Condiments;124,8
10257;Austria;Confections;877,5
10257;Austria;Beverages;86,4
10257;Austria;Condiments;156
10258;Belgium;Beverages;760
10258;Belgium;Condiments;1105
10258;Belgium;Dairy Products;153,6
10259;Austria;Confections;80
10259;Austria;Seafood;20,8
10260;Denmark;Seafood;123,2
10260;Denmark;Grains/Cereals;780
10260;Denmark;Confections;591
10260;Denmark;Beverages;252
10261;France;Dairy Products;160
10261;France;Condiments;288
10262;Spain;Condiments;204
10262;Spain;Produce;360
10262;Spain;Grains/Cereals;60,8
10263;Belgium;Confections;834
10263;Belgium;Beverages;100,8
10263;Belgium;Seafood;1242
10263;Belgium;Produce;288
10264;Denmark;Beverages;532
10264;Denmark;Seafood;192,5
10265;Belgium;Meat/Poultry;936
10265;Belgium;Beverages;240
10266;France;Dairy Products;364,8
10267;Austria;Seafood;735
10267;Austria;Dairy Products;3080
10267;Austria;Beverages;216
10268;Austria;Meat/Poultry;990
10268;Austria;Dairy Products;111,2
10269;France;Dairy Products;120
10269;France;Dairy Products;556
10270;France;Seafood;456
10270;France;Condiments;920
10271;France;Dairy Products;48
10272;Spain;Confections;388,8
10272;Spain;Dairy Products;400
10272;Spain;Dairy Products;667,2
10273;Spain;Seafood;595,2
10273;Spain;Dairy Products;150
10273;Spain;Dairy Products;40
10273;Spain;Seafood;882
10273;Spain;Beverages;475,2
10274;France;Dairy Products;344
10274;France;Dairy Products;194,6
10275;Denmark;Beverages;43,2
10275;Denmark;Dairy Products;264
10276;France;Seafood;372
10276;France;Seafood;48
10277;Denmark;Produce;728
10277;Denmark;Confections;472,8
10278;Belgium;Condiments;248
10278;Belgium;Dairy Products;660
10278;Belgium;Condiments;280,8
10278;Belgium;Seafood;300
10279;Denmark;Meat/Poultry;468
10280;Belgium;Beverages;43,2
10280;Belgium;Meat/Poultry;384
10280;Belgium;Beverages;186
10281;France;Dairy Products;7,3
10281;France;Condiments;21,6
10281;France;Condiments;57,6
10282;France;Seafood;124,2
10282;France;Grains/Cereals;31,2
10283;Denmark;Condiments;248
10283;Denmark;Confections;131,4
10283;Denmark;Dairy Products;952
10283;Denmark;Dairy Products;83,4
10284;Denmark;Confections;526,5
10284;Denmark;Condiments;325,5
10284;Denmark;Dairy Products;544
10284;Denmark;Beverages;56
10285;Spain;Beverages;648
10285;Spain;Seafood;588
10285;Spain;Meat/Poultry;943,2
10286;Spain;Beverages;1440
10286;Spain;Confections;1576
10287;France;Dairy Products;556
10287;France;Condiments;224
10287;France;Seafood;144
10288;France;Meat/Poultry;59
10288;France;Dairy Products;30
10289;Belgium;Condiments;240
10289;Belgium;Grains/Cereals;239,4
10290;Belgium;Condiments;340
10290;Belgium;Meat/Poultry;1485
10290;Belgium;Confections;240
10290;Belgium;Condiments;104
10291;France;Seafood;96
10291;France;Condiments;372
10291;France;Produce;84,8
10292;France;Dairy Products;1296
10293;France;Seafood;600
10293;France;Condiments;36
10293;France;Condiments;175,5
10293;France;Condiments;37,2
10294;Spain;Beverages;259,2
10294;Spain;Meat/Poultry;468
10294;Spain;Beverages;552
10294;Spain;Dairy Products;571,2
10294;Spain;Beverages;37,2
10295;France;Grains/Cereals;121,6
10296;Denmark;Dairy Products;201,6
10296;Denmark;Confections;417
10296;Denmark;Dairy Products;432
10297;Belgium;Beverages;864
10297;Belgium;Dairy Products;556
10298;Denmark;Beverages;608
10298;Denmark;Seafood;608
10298;Denmark;Dairy Products;1320
10298;Denmark;Confections;591
10299;France;Dairy Products;109,5
10299;France;Condiments;240
10300;Denmark;Condiments;408
10300;Denmark;Confections;200
10301;France;Seafood;147
10301;France;Grains/Cereals;608
10302;France;Meat/Poultry;1248
10302;France;Produce;1019,2
10302;France;Condiments;441,6
10303;Austria;Seafood;588
10303;Austria;Condiments;504
10303;Austria;Confections;150
10304;France;Dairy Products;480
10304;France;Dairy Products;440
10304;France;Dairy Products;34,4
10305;France;Seafood;1250
10305;France;Meat/Poultry;2475
10305;France;Condiments;432
10306;France;Seafood;207
10306;France;Meat/Poultry;262
10306;France;Meat/Poultry;29,5
10307;Denmark;Confections;394
10307;Denmark;Confections;30
10308;Spain;Dairy Products;28,8
10308;Spain;Beverages;60
10309;Denmark;Condiments;352
10309;Denmark;Condiments;600
10309;Denmark;Grains/Cereals;22,4
10309;Denmark;Beverages;736
10309;Denmark;Dairy Products;51,6
10310;France;Dairy Products;139
10310;France;Dairy Products;197
10311;Austria;Grains/Cereals;67,2
10311;Austria;Dairy Products;201,6
10312;France;Produce;145,6
10312;France;Condiments;883,2
10312;France;Meat/Poultry;524
10312;France;Condiments;62
10313;Spain;Seafood;182,4
10314;Spain;Dairy Products;1024
10314;Spain;Seafood;318
10314;Spain;Confections;985
10315;Denmark;Beverages;156,8
10315;Denmark;Beverages;360
10316;Spain;Seafood;77
10316;Spain;Confections;2758
10317;Denmark;Beverages;288
10318;Denmark;Seafood;154
10318;Denmark;Beverages;86,4
10319;France;Meat/Poultry;249,6
10319;France;Produce;509,6
10319;France;Condiments;432
10320;France;Dairy Products;516
10321;Denmark;Beverages;144
10322;France;Grains/Cereals;112
10323;Denmark;Condiments;62
10323;Denmark;Confections;44,8
10323;Denmark;Beverages;57,6
10324;France;Dairy Products;291,9
